Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
76575,-5.622469419,3.480623179,-6.200676594,4.311233668,-5.226286324,-1.341763573,-5.220940942,2.682843537,-2.921484382,-6.561257411,3.211263878,-6.861660514,0.326461835,-7.755253664,0.504652193,-6.276616786,-10.6117147,-4.146773745,2.197287713,-0.156288523,0.949568986,-0.42898575,-0.3506755,0.197549504,0.15923423,-0.377790861,-0.213561786,0.459528918,219.8,1
45463,-1.476893436,2.122313792,-1.22946956,1.201848798,-0.343264388,-1.317703909,-1.528142159,-0.620953383,-1.213040323,-2.975267248,3.532219602,-3.68263987,-1.154777486,-5.165229227,-0.240091425,-2.404927288,-5.671738641,-0.994293951,-0.289935891,0.276893466,1.186035605,-0.04021487,-0.238930087,0.110144326,0.04541837,-0.569232317,0.481018702,-0.047555443,1,1
62341,-5.267759743,2.506718959,-5.290924818,4.886134198,-3.343188411,-1.100085485,-5.810509186,1.726343355,-0.74927716,-4.834827995,3.54601225,-7.751285478,-1.195693945,-10.01850245,0.296396122,-7.477161727,-9.785800262,-4.243977148,2.681126782,-0.28604327,0.764265625,0.473261684,0.548481723,-0.156850052,-0.710186945,-0.366422677,-1.48676592,0.677664105,1.1,1
102318,-1.020631666,1.496959122,-4.490937118,1.836727058,0.627318468,-2.73556861,-1.546273642,0.459821576,-0.682741406,-4.363102193,4.28702088,-5.403768357,1.260262309,-3.087742907,-1.317488063,-3.537056284,-3.172027522,-0.529885085,1.01162645,0.443488532,0.773630966,0.860618181,-0.304666448,-0.155499583,0.412166291,-0.220079647,0.392337584,-0.020089487,22.04,1
17230,-0.469326705,1.111452782,2.041002725,1.731595163,0.135146842,-0.093625175,0.26615517,0.082988236,0.580255403,-0.164562675,0.50037637,-3.021760182,0.92421326,1.500793775,-0.400282644,0.706047713,0.115114265,-0.046795879,-2.548521592,-0.358708666,0.159387389,0.592669569,-0.053596184,0.320747502,-0.369120754,-0.136604685,-0.100845187,0.039347148,3.93,1
40918,-3.140259538,3.367342309,-2.778931407,3.859700674,-1.159518363,-0.721552488,-4.195341543,-0.598345847,-2.870144772,-5.290610062,3.823762084,-7.492276169,-1.52436748,-8.527678622,-0.391214525,-6.18087991,-9.698839411,-4.818233341,-0.871581688,0.077781446,2.452338505,-0.292962575,-0.189330326,-0.166482104,0.038039624,-0.015476535,0.776691266,0.39755749,0.76,1
41582,-1.048005289,1.300218777,-0.180400576,2.589842643,-1.164793552,0.031823406,-2.175778099,0.699071738,-1.140208278,-3.226787107,3.49080495,-2.45433921,0.177189485,-5.160608097,-0.686114234,-3.996144713,-4.695562722,-1.819160964,1.461080319,0.644993308,0.549014458,0.624321411,-0.13666272,0.131737919,0.030921372,-0.176701082,0.504897672,0.069882453,39.45,1
41505,-16.52650657,8.584971796,-18.64985319,9.505593515,-13.79381853,-2.832404299,-16.7016943,7.517343904,-8.507058637,-14.11018444,5.29923635,-10.83400648,1.671120253,-9.373858584,0.360805642,-9.899246541,-19.23629237,-8.398551995,3.101735369,-1.514923435,1.190738695,-1.127670009,-2.35857877,0.673461329,-1.413699675,-0.462762361,-2.018575249,-1.04280417,364.19,1
93853,-6.185857478,7.102984922,-13.03045526,8.010823398,-7.885237361,-3.974549994,-12.22960778,4.971231702,-4.248307013,-12.9654812,8.688307992,-17.18291843,0.069576915,-14.11615601,0.959031717,-12.37533374,-18.71676451,-6.522014573,3.51795494,0.483930108,2.50277241,0.48169129,0.480957978,0.360318639,-0.293354296,-0.199193158,-0.203917328,0.398927186,44.9,1
62080,-1.599457402,2.607720029,-2.987192942,3.064156147,-2.497914317,-0.541102793,-2.277786228,1.268166108,-1.997331053,-3.834775088,1.113354093,-4.976921041,-0.795530935,-4.549556744,1.813763254,-3.177460496,-5.369348778,-1.121454157,2.030591938,0.22533293,0.66293304,0.184086858,-0.089451803,-0.505999935,-0.062258889,-0.052714413,0.322854005,0.135267637,180,1
